Name,Location,TotalRooms
AMERICA'S BEST VALUE INN,3401 S KEYSTONE AVE,65
ALWAYS INN,7410 E 21ST ST,59
PARK TERRACE MOTEL,9025 PENDLETON PIKE,22
FAIRBRIDGE INN EXPRESS,602 E THOMPSON RD,141
TRAVEL INN,4950 S EAST ST,65
BUDGET 8 INN,6850 E 21ST ST,139
ADMIRAL MOTEL,11200 E WASHINGTON ST,12
SHADELAND INN,3525 N SHADELAND AVE,113
MOTOR 8 INN,3731 N SHADELAND AVE,160
HARDING HOSPITALITY - MOTEL 6,4585 S HARDING ST,70
SUPER 8 INDIANAPOLIS SOUTH,450 BIXLER RD,100
SKYLINE MOTEL,6617 E WASHINGTON ST,61
MOTEL 6,2851 N SHADELAND AVE,117
INDY HOTEL (CLOSED),5117 E 38TH ST,50
REGAL 8 INN,6231 W WASHINGTON ST,150
GATEWAY MOTEL,1740 LAFAYETTE RD,48
CAPRI MOTEL,8120 W WASHINGTON ST,10
SUPER 8 CASTLETON,7202 E 82ND ST,74
RED ROOF INN AND SUITES INDIANAPOLIS AIRPORT,2631 S LYNHURST DR,135
COUNTRY HEARTH INN & SUITES,8850 E 21ST ST,80
KNIGHTS INN SOUTH,4909 KNIGHTS WAY,96
MOTEL 6,5845 ROCKVILLE RD,63
QUALITY INN,7050 E 21ST ST,70
QUALITY INN SOUTH,4502 S HARDING ST,65
INTOWN SUITES INDIANAPOLIS NORTH,3650 W 86TH ST,120
SUPER 8 INDIANAPOLIS WEST,5241 W BRADBURY AVE,114
RED ROOF #10013,5221 VICTORY DR,107
ROYAL INN,3740 N HIGH SCHOOL RD,100
DAYS INN,2150 N POST RD,50
MAYFAIR MOTEL,2040 LAFAYETTE RD,52
RELAX INN,120 S TIBBS AVE,98
INTOWN SUITES INDIANAPOLIS EAST,2301 POST DR,136
RODEWAY INN,6990 E 21ST ST,184
LA QUINTA INN & SUITES INDIANAPOLIS EAST #4011,2349 POST DR,102
