IncidentDescription,CallForService
ACCFATAL - ACCIDENT / FATAL,FALSE
ACCFATALHR - ACCIDENT / FATAL HIT/RUN,FALSE
ACCNO - ACCIDENT / NO INFO,FALSE
ACCNOHR - ACCIDENT / NO INFORMTION  HIT/RUN,FALSE
ACCPD - ACCIDENT / PD,FALSE
ACCPDHR - ACCIDENT / PD HIT/RUN,FALSE
ACCPI - ACCIDENT / PI,FALSE
ACCPIHR - ACCIDENT / PI HIT/RUN,FALSE
ACCSBI - ACCIDENT / SBI/POSS FATAL,FALSE
ACCSBIHR - ACCIDENT / SBI/POSS FATAL HIT/RUN,FALSE
AIRAST - AIRPORT ASSIST,FALSE
AIRDTL - AIRPORT DETAIL,FALSE
AIRFIELD,FALSE
ALARM,FALSE
ALARMAUD - ALARM AUDIBLE,FALSE
ALARMBUS - ALARM / BUSINESS,FALSE
ALARMDOM - ALARM / DOMESTIC VIOLENCE,TRUE
ALARMF - ALARM / FORCE OPEN DOOR,TRUE
ALARMG - OPEN CRASH GATE,TRUE
ALARMH - ALARM / HOLD OPEN DOOR,TRUE
ALARMHOL - ALARM / HOLDUP,TRUE
ALARMPAN - ALARM / PANIC,TRUE
ALARMRES - ALARM / RESIDENTIAL,FALSE
ALARMSTM - ALARM / STORM,FALSE
AIRPORT EMS ASSIST,FALSE
ANIMAGG - ANIMAL/AGGRESSIVE/DANGEROUS / IN-PROGRESS,TRUE
ANIMAL - ANIMAL INCIDENT,TRUE
ANIMBITE - ANIMAL BITE,TRUE
ANIMIN - ANIMAL / IN-PROGRESS,TRUE
PA ANNOUNCMENT,FALSE
ARSON - ARSON INVESTIGATION,TRUE
ASSIST - ASSIST,FALSE
ASSISTDCS - ASSIST DCS,FALSE
ASSISTEMS - ASSIST EMS,FALSE
ASSISTFIRE - ASSIST FIRE,FALSE
ASSISTLAW - ASSIST LAW ENFORCEMENT,FALSE
ASSISTOFF - ASSIST OFFICER,FALSE
ASSISTPER - ASSIST PERSON,FALSE
ATTEMPT TO LOCATE PERSON,TRUE
ATTEMPT TO LOCATE VEHICLE,TRUE
BAKER1 - BAKER 1 CHECK-UP,TRUE
BIKE - BIKE PATROL,FALSE
BOMB - BOMB THREAT / DEVICE,TRUE
BROADC - BROADCAST,FALSE
BURG - BURGLARY / OTHER,TRUE
BURGATT - BURGLARY / ATTEMPT,TRUE
BURGBUS - BURGLARY / BUSINESS / DELAYED,TRUE
BURGIN - BURGLARY / IN-PROGRESS,TRUE
BURGLARY TO BUSINESS / IN-PROGRESS,TRUE
BURGLARY TO RESD / IN-PROGRESS,TRUE
BURGRES - BURGLARY / RESIDENCE / DELAYED,TRUE
CALL - INCOMPLETE 911 CALL,FALSE
CALLFH - CALL FOR HELP,TRUE
CHASE - CHASE,TRUE
CHECKP - CHECK PREMISE,FALSE
CHEMSPL - CHEMICAL SPILL,TRUE
CHILD-CHILD/DELAYED,TRUE
CHILDABU - CHILD ABUSE,TRUE
CHILDBAT-CHILD BATTERED/DELAYED,TRUE
CHILDMIS - CHILD MISSING,TRUE
CHILDMOL - CHILD MOLEST,TRUE
CHILDNEG - CHILD NEGLECT,TRUE
CHILDTRB - CHILD TROUBLE WITH,TRUE
CHILDWEL - CHILD  CHECK WELFARE,TRUE
CHILIN - CHILD / IN-PROGRESS,TRUE
CHILINMOL - CHILD MOLEST /  INPROGRESS,TRUE
CHILINTRB - TROUBLE WITH CHILD,TRUE
CHILINWEL - CHILD CHECK WELFARE,TRUE
CHINS - CHILD IN NEED,TRUE
CITIZEN ASSIST,TRUE
CIVIL - CIVIL,TRUE
CODE1 - CODE 1,TRUE
CODE4 - CODE 4,TRUE
COMEVT - COMMUNITY EVENT,FALSE
COMMTG - COMMUNITY MEETING,FALSE
AIRPORT CONVERSION,FALSE
CPSERV - CIVIL PROS SRVD,FALSE
CUSTODY - CHILD CUSTODY,TRUE
DERAIL - TRAIN DERAILMENT,FALSE
DISAST - DISASTER,FALSE
DISTUR - DISTURBANCE,TRUE
DISTURWEAP - DISTURBANCE W WEAPON,TRUE
DOA - DEATH INVEST / NATURAL OR UNKNOWN CAUSE,TRUE
DOMEST - DOMESTIC DISTURBANCE,TRUE
DOMESTIC/WEAPON,TRUE
DROWN - DROWNING,TRUE
DRUNK - PERSON,TRUE
DUMP - DUMPING / ILLEGAL,TRUE
DUMPIN - DUMPING / ILLEGAL / IN-PROGRESS,TRUE
